time,ydata,xdata
6:00 AM,0,0
6:15 AM,10278,50656.5726
6:30 AM,31112.6,80478.5452
6:45 AM,43338,98075.1178
7:00 AM,52798.8,131260.0519
7:15 AM,61374.2,155869.586
7:30 AM,65834.2,176019.1201
7:45 AM,68831.4,195239.5807
8:00 AM,70903.4,212388.0413
8:15 AM,71790,228649.9019
8:30 AM,72546.6,250848.8264
8:45 AM,73514,272080.35099
9:00 AM,73541.6,293284.2754
9:15 AM,63973.4,229310.8754
9:30 AM,44847.2,184463.6754
9:45 AM,32886,151577.6754
10:00 AM,25157,126420.6754
10:15 AM,20003.4,106417.2754
10:30 AM,15787.6,90629.6754
10:45 AM,12824.2,77805.4754
11:00 AM,10588,67217.4754
11:15 AM,8868.8,58348.6754
11:30 AM,7558,50790.6754
11:45 AM,6488.8,44301.8754
12:00 PM,5705,38596.8754
12:15 PM,4960,33636.8754
12:30 PM,4433.2,29203.6754
12:45 PM,3839.2,25364.4754
13:00 PM,3386,21978.4754
13:15 PM,2959.2,19019.2754
13:30 PM,2520.6,16498.6754
13:45 PM,2121.4,14377.2754
14:00 PM,1707.4,12669.8754
